Data Source,World Development Indicators,,
,,,
Mauritania,MRT,region,4403319
Mauritius,MUS,region,1265303
Malawi,MWI,region,18143315
Malaysia,MYS,region,31528585
North America,NAC,region,364290258
Namibia,NAM,region,2448255
New Caledonia,NCL,region,284060
Niger,NER,region,22442948
Nigeria,NGA,region,195874740
Nicaragua,NIC,region,6465513
Netherlands,NLD,region,17231624
Norway,NOR,region,5311916
Nepal,NPL,region,28087871
Nauru,NRU,region,12704
New Zealand,NZL,region,4841000
OECD members,OED,region,1303529456
Oman,OMN,region,4829483
Other small states,OSS,region,30758989
Pakistan,PAK,region,212215030
Panama,PAN,region,4176873
Peru,PER,region,31989256
Philippines,PHL,region,106651922
Palau,PLW,region,17907
Papua New Guinea,PNG,region,8606316
Poland,POL,region,37974750
Pre-demographic dividend,PRE,region,919485393
Puerto Rico,PRI,region,3195153
"Korea, Dem. People’s Rep.",PRK,region,25549819
Portugal,PRT,region,10283822
Paraguay,PRY,region,6956071
West Bank and Gaza,PSE,region,4569087
Pacific island small states,PSS,region,2457367
Post-demographic dividend,PST,region,1109997273
French Polynesia,PYF,region,277679
Qatar,QAT,region,2781677
Romania,ROU,region,19466145
Russian Federation,RUS,region,144478050
Rwanda,RWA,region,12301939
South Asia,SAS,region,1814388744
Saudi Arabia,SAU,region,33699947
Sudan,SDN,region,41801533
Senegal,SEN,region,15854360
Singapore,SGP,region,5638676
Solomon Islands,SLB,region,652858
Sierra Leone,SLE,region,7650154
El Salvador,SLV,region,6420744
San Marino,SMR,region,33785
Somalia,SOM,region,15008154
Serbia,SRB,region,6982604
Sub-Saharan Africa (excluding high income),SSA,region,1078209758
South Sudan,SSD,region,10975920
Sub-Saharan Africa,SSF,region,1078306520
Small states,SST,region,40575321
Sao Tome and Principe,STP,region,211028
Suriname,SUR,region,575991
Slovak Republic,SVK,region,5446771
Slovenia,SVN,region,2073894
Sweden,SWE,region,10175214
Eswatini,SWZ,region,1136191
Sint Maarten (Dutch part),SXM,region,40654
Seychelles,SYC,region,96762
Syrian Arab Republic,SYR,region,16906283
Turks and Caicos Islands,TCA,region,37665
Chad,TCD,region,15477751
East Asia & Pacific (IDA & IBRD countries),TEA,region,2056064424
Europe & Central Asia (IDA & IBRD countries),TEC,region,459865205
Togo,TGO,region,7889094
Thailand,THA,region,69428524
Tajikistan,TJK,region,9100837
Turkmenistan,TKM,region,5850908
Latin America & the Caribbean (IDA & IBRD countries),TLA,region,625569713
Timor-Leste,TLS,region,1267972
Middle East & North Africa (IDA & IBRD countries),TMN,region,378327628
Tonga,TON,region,103197
South Asia (IDA & IBRD),TSA,region,1814388744
Sub-Saharan Africa (IDA & IBRD countries),TSS,region,1078306520
Trinidad and Tobago,TTO,region,1389858
Tunisia,TUN,region,11565204
Turkey,TUR,region,82319724
Tuvalu,TUV,region,11508
Tanzania,TZA,region,56318348
Uganda,UGA,region,42723139
Ukraine,UKR,region,44622516
Upper middle income,UMC,region,2655635719
Uruguay,URY,region,3449299
United States,USA,region,326687501
Uzbekistan,UZB,region,32955400
St. Vincent and the Grenadines,VCT,region,110210
"Venezuela, RB",VEN,region,28870195
British Virgin Islands,VGB,region,29802
Virgin Islands (U.S.),VIR,region,106977
Vietnam,VNM,region,95540395
Vanuatu,VUT,region,292680
World,WLD,region,7594270356
Samoa,WSM,region,196130
Kosovo,XKX,region,1845300
"Yemen, Rep.",YEM,region,28498687
South Africa,ZAF,region,57779622
Zambia,ZMB,region,17351822
Zimbabwe,ZWE,region,14439018
